O.3   n.4     -1.18076685  2  8  3  46
O.3   n.pl3   -1.35701033  2  8  5  47
O.3   o.3     -2.00145906  2  8  6  48
O.3   o.2     -1.59938690  2  8  7  49
O.3   o.co2   -2.29148170  2  8  8  50
O.3   n.ar    -1.32092261  2  8 10  51
O.2   c.3      1.60480606  2  9  0  52
O.2   c.2      0.39291432  2  9  1  53
O.2   c.ar     2.13810058  2  9  2  54
O.2   n.4     -0.65082091  2  9  3  55
O.2   n.am     0.75880976  2  9  4  56
O.2   n.pl3   -0.22572773  2  9  5  57
O.2   o.3     -0.38628364  2  9  6  58
O.2   o.2      0.06917219  2  9  7  59
O.2   o.co2    0.24173074  2  9  8  60
O.2   n.ar     0.20759291  2  9 10  61
O.CO2 c.3      0.23912973  2 10  0  62
O.CO2 c.2     10.00000000  2 10  1  63
O.CO2 c.ar    10.00000000  2 10  2  64
O.CO2 n.4     -1.89173222  2 10  3  65
O.CO2 n.am    10.00000000  2 10  4  66
O.CO2 n.pl3   -0.63196222  2 10  5  67
O.CO2 o.3     -2.32085526  2 10  6  68
O.CO2 o.2     -1.34349148  2 10  7  69
O.CO2 o.co2   -1.94874260  2 10  8  70
O.CO2 n.ar    -1.20080911  2 10 10  71
MET   c.2     -4.22946309  2 11  1  72
MET   o.3     -5.96267145  2 11  6  73
MET   o.2     -5.72688378  2 11  7  74
MET   o.co2   -6.42277671  2 11  8  75
MET   p.3     10.00000000  2 11  9  76
C.3   c.3      2.06970110  3  0  0   1
C.3   c.2      1.80220323  3  0  1   2
C.3   c.ar     2.61508406  3  0  2   3
C.3   o.3      1.05962759  3  0  6   4
C.3   o.2      0.82437386  3  0  7   5
C.3   o.co2    0.63930680  3  0  8   6
C.3   n.ar     2.04543112  3  0 10   7
C.3   f        0.19077017  3  0 11   8
C.2   c.3      2.09419016  3  1  0   9
C.2   c.ar     2.69676986  3  1  2  10
C.2   n.4      0.74794038  3  1  3  11
C.2   o.3      0.52705094  3  1  6  12
C.2   o.2      0.40126671  3  1  7  13
C.2   o.co2    0.73033870  3  1  8  14
C.2   n.ar     1.58640246  3  1 10  15
C.AR  c.3      1.63550195  3  2  0  16
C.AR  c.2      1.79987341  3  2  1  17
C.AR  c.ar     2.61753535  3  2  2  18
C.AR  o.3      1.16161392  3  2  6  19
C.AR  o.2      0.36070735  3  2  7  20
C.AR  o.co2    0.50457885  3  2  8  21
C.AR  n.ar    10.00000000  3  2 10  22
C.AR  f        1.18762862  3  2 11  23
C.CAT o.co2   -0.04398978  3  3  8  24
N.4   o.3     -2.20935675  3  4  6  25
N.4   o.co2   -2.90946386  3  4  8  26
N.AM  c.3      1.64326432  3  5  0  27
N.AM  c.2      2.11475046  3  5  1  28
N.AM  c.ar     2.18514993  3  5  2  29
N.AM  o.3     -0.54590486  3  5  6  30
N.AM  o.2     -1.28324185  3  5  7  31
N.AM  o.co2   -1.35850440  3  5  8  32
N.AM  n.ar    -0.62534257  3  5 10  33
N.PL3 c.3      1.57843146  3  6  0  34
N.PL3 c.2      1.54545511  3  6  1  35
N.PL3 c.ar     1.18930705  3  6  2  36
N.PL3 o.3     -1.55720685  3  6  6  37
N.PL3 o.2     -1.66263626  3  6  7  38
N.PL3 o.co2   -2.49395817  3  6  8  39
N.2   o.3     -2.26966682  3  7  6  40
N.2   o.2     -2.33955346  3  7  7  41
N.2   o.co2   -2.47496392  3  7  8  42
